post_id,title,category,score,num_comments,author,collected_at
49832406,GitHub has not removed malicious imitation software after 3 weeks,technology,70,22,hermitcrab,2026-09-24 22:43:01.765228
49832646,LinkedIn wins court order blocking mass scraping of user data,technology,26,13,ilamont,2026-09-24 22:43:01.765228
49832417,QR Codes That Route to the Appropriate App Store,technology,11,6,matthuggins,2026-09-24 22:43:01.765228
49832491,I Have a Confession: I Built This Site with AI – Please Forgive Me,technology,27,27,joelberger,2026-09-24 22:43:01.765228
49822555,VSCode's SSH Agent Is Bananas (2025),technology,292,185,Rapzid,2026-09-24 22:43:01.765228
49800557,Coulomb's law remains tricky to test at home,technology,14,11,surprisetalk,2026-09-24 22:43:01.765228
49831236,"Humans Are Reading Your ChatGPT Chats, Lawsuit Claims",technology,22,8,nreece,2026-09-24 22:43:01.765228
49824864,Virtio-nvgpu: Near-native Nvidia GPU access inside a KVM guest,technology,144,59,WanjohiRyan,2026-09-24 22:43:01.765228
49832844,Federal judge orders Texas to air condition all prisons by the end of 2029,technology,18,1,bonefishgrill,2026-09-24 22:43:01.765228
49830866,"Best LLM for every budget, updated daily",technology,130,85,terryds,2026-09-24 22:43:01.765228
49819880,Making Tailscale Faster,technology,222,90,yarapavan,2026-09-24 22:43:01.765228
49832564,Oracle invokes force majeure on New Mexico AI data center,technology,6,1,dgellow,2026-09-24 22:43:01.765228
49826565,Early rogue AI agent activity and attempts to hack found on urlquery.net,technology,200,188,snikolaev,2026-09-24 22:43:01.765228
49823348,Mercury 2.5 LLM hits 770 tokens per second,technology,141,88,Retro_Dev,2026-09-24 22:43:01.765228
49831220,"The Antennagate Q&A, which has never been available, has been posted today [video]",technology,12,4,philistine,2026-09-24 22:43:01.765228
49831774,Disney+ and Hulu raise prices by up to 13 percent after doubling profits,technology,115,137,Brajeshwar,2026-09-24 22:43:01.765228
49830037,Oracle Cites 'Force Majeure' to Shield Itself on Controversial Data Center,technology,82,76,simonpure,2026-09-24 22:43:01.765228
49827794,Meta takes down a critical video about meta AI Glasses after filming at Meta,technology,553,328,pieterr,2026-09-24 22:43:01.765228
49826163,Nori LLM: Achieving Over 1M tok / s,technology,23,3,theahura,2026-09-24 22:43:01.765228
49820267,Cloud Agents Are Inevitable AI Prisons,technology,66,142,nponte,2026-09-24 22:43:01.765228
49824884,Nesbox: A fast MicroVM with GPU sharing,technology,26,4,WanjohiRyan,2026-09-24 22:43:01.765228
49815466,I don't want the details,technology,425,220,mooreds,2026-09-24 22:43:01.765228
49822556,"OpenAI breaches Medicare, Albanese reveals",technology,239,247,jonnonz,2026-09-24 22:43:01.765228
49814947,Claude Code reads AGENTS.md only when telemetry is on [fixed],technology,476,276,pszypowicz,2026-09-24 22:43:01.765228
49829960,Owners mourn spoiled food after firmware update bricks Samsung smart fridges,worldnews,204,208,nonfamous,2026-09-24 22:43:03.766395
49828409,Starlink ground station in Poland hit by fire in suspected arson attack,worldnews,150,158,giuliomagnifico,2026-09-24 22:43:03.766395
49811429,Data-only attacks are easier than you think (2024),worldnews,101,43,segfaultbuserr,2026-09-24 22:43:03.766395
49833344,US Government foots bill for television ad featuring Trump's midterm messaging,worldnews,7,0,cfowles,2026-09-24 22:43:03.766395
